lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.076395,-34.895554,-58.05,-39.225,-76.925,-56.475,-71.475,-79.625
-8.076291,-34.896008,-68.0333333333,-56.1666666667,-79.4333333333,-73.3,-78.8333333333,-83.5
-8.068961,-34.895958,-52.85,-65.7,-61.65,-53.3,-59.45,-53.6
-8.067055,-34.89679,-59.8,-50.25,-53.65,-39.85,-61.15,-47.5
-8.065859,-34.888054,-77.05,-77.875,-79.875,-70.45,-59.15,-82.8
-8.075474,-34.892975,-63.2666666667,-71.5333333333,-68.6,-53.4,-77.2333333333,-72.9
-8.070345,-34.89344,-42.4,-66.75,-66.8,-45.95,-48.8,-50.65
-8.068862,-34.888805,-62.9333333333,-77.4,-72.9666666667,-66.8666666667,-52.9333333333,-73.0333333333
-8.072412,-34.892193,-54.65,-56.2,-64.65,-34.9,-51.1,-69.65
-8.061768,-34.901981,-77.6666666667,-63.6,-78.8666666667,-71.5333333333,-67.5333333333,-71.5
-8.069228,-34.899292,-46.9,-57.2,-66.1333333333,-61.9666666667,-59.4,-45.4333333333
-8.072544,-34.896725,-44.1,-34.6,-60.1,-28.05,-70.0,-80.55
-8.062428,-34.901497,-75.1666666667,-66.7666666667,-77.8666666667,-66.1333333333,-77.2333333333,-72.1333333333
-8.063334,-34.886608,-72.5,-83.2333333333,-83.1333333333,-83.4,-82.2,-88.5
-8.067008,-34.893833,-64.6659574468,-76.1510638298,-73.6127659574,-67.8255319149,-68.0042553191,-53.9191489362
-8.071481,-34.891914,-49.55,-54.2,-71.35,-34.475,-54.35,-78.325
-8.075891,-34.89616,-65.1,-54.0,-74.9,-66.7,-71.9666666667,-75.4666666667
-8.070892,-34.900856,-71.6,-71.2333333333,-74.3,-67.7333333333,-81.4333333333,-73.2333333333
-8.070949,-34.900845,-71.5,-68.1,-64.0,-64.7,-81.4333333333,-72.3666666667
-8.068457,-34.899055,-61.5666666667,-60.7333333333,-60.4,-48.3333333333,-67.9666666667,-50.6333333333
-8.072384,-34.892155,-56.5333333333,-47.0333333333,-63.8333333333,-28.4666666667,-56.6666666667,-69.0333333333
-8.069224,-34.895569,-52.9,-69.1,-60.9333333333,-49.3,-53.2333333333,-57.7333333333
-8.075448,-34.892918,-56.65,-70.15,-68.95,-52.2,-67.1,-74.5
-8.074686,-34.890457,-60.1333333333,-69.0333333333,-78.6333333333,-43.2,-74.3,-89.2666666667
-8.059369,-34.906765,-83.8666666667,-71.1666666667,-77.3666666667,-76.8333333333,-85.9,-77.5666666667
-8.068701,-34.891064,-68.8666666667,-74.5,-70.9,-59.2666666667,-29.1666666667,-61.1666666667
-8.07433,-34.900322,-68.8,-58.1,-55.65,-71.6,-83.25,-82.0
-8.06856,-34.889446,-62.9333333333,-77.2666666667,-78.7333333333,-66.3666666667,-51.8666666667,-72.5666666667
-8.069491,-34.895054,-55.4333333333,-69.2,-56.7666666667,-63.1666666667,-54.2333333333,-60.1
-8.06981,-34.89785,-38.85,-66.25,-58.2,-56.4,-67.1,-41.85
-8.075749,-34.896191,-61.0666666667,-60.0,-71.7,-65.4666666667,-72.5333333333,-78.8333333333
-8.063306,-34.901398,-85.5,-76.5,-76.3,-71.2666666667,-79.5333333333,-78.2333333333
-8.075687,-34.893345,-65.925,-69.5,-73.375,-45.575,-69.725,-82.7
-8.065082,-34.889549,-82.2,-77.6,-77.95,-78.2,-66.85,-77.275
-8.066721,-34.896595,-56.5333333333,-53.3333333333,-69.0333333333,-58.2333333333,-71.5,-32.2333333333
-8.066086,-34.896355,-64.65,-57.0,-74.55,-60.4,-68.75,-47.85
-8.072402,-34.893658,-44.95,-74.9,-59.25,-51.9,-60.4,-71.6
-8.066821,-34.892658,-79.7,-68.2666666667,-76.1,-74.3333333333,-68.5666666667,-45.2
-8.076391,-34.895985,-65.02,-48.79,-74.38,-68.03,-73.87,-76.49
-8.076415,-34.895992,-65.15,-48.3,-76.925,-62.7,-74.15,-83.225
-8.068029,-34.890541,-70.0666666667,-76.2,-77.0,-64.2,-50.7,-65.1
-8.073009,-34.896366,-56.05,-48.6,-66.6,-39.95,-72.4,-74.8
-8.059703,-34.906364,-81.3666666667,-79.4666666667,-75.1333333333,-77.4333333333,-81.3,-79.6
-8.066821,-34.895683,-73.3,-73.4,-58.25,-61.25,-71.25,-48.65
-8.073289,-34.890606,-41.8666666667,-80.2333333333,-70.0666666667,-56.8666666667,-58.6666666667,-86.9666666667
-8.072871,-34.896641,-39.5333333333,-52.8,-61.5,-41.5,-66.4333333333,-68.1333333333
-8.069882,-34.894314,-48.1,-68.6666666667,-72.6333333333,-60.5666666667,-63.0,-49.9333333333
-8.074542,-34.900314,-69.7,-51.2,-61.2,-70.8666666667,-85.9666666667,-81.2
-8.070604,-34.896782,-43.5,-49.0,-56.55,-40.2,-66.9,-65.7
-8.073599,-34.900524,-68.75,-68.7,-70.4,-69.4,-87.55,-77.8
-8.07129,-34.900772,-62.3,-63.0,-70.5,-68.15,-82.7,-73.1
