lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.070743,-34.900875,-64.4,-73.1333333333,-62.8666666667,-64.5333333333,-75.4666666667,-81.5666666667
-8.066996,-34.893829,-69.7,-77.2333333333,-74.6666666667,-66.9,-68.5333333333,-52.0
-8.068568,-34.896873,-53.8666666667,-68.0,-65.7,-58.9333333333,-67.3,-57.1333333333
-8.077491,-34.898972,-65.7,-26.0,-64.2,-65.4,-72.6333333333,-77.2666666667
-8.068967,-34.899975,-43.8666666667,-60.4,-64.0,-57.9666666667,-62.1,-53.9666666667
-8.070541,-34.896671,-45.4,-59.9333333333,-63.8666666667,-53.3333333333,-71.2333333333,-62.8666666667
-8.074599,-34.89019,-57.2666666667,-68.8666666667,-75.8333333333,-45.3333333333,-75.5,-94.0666666667
-8.073223,-34.896416,-46.4666666667,-59.7333333333,-53.7333333333,-52.4,-63.2666666667,-73.4333333333
-8.069948,-34.897308,-42.9666666667,-62.3333333333,-63.8666666667,-51.2333333333,-63.8333333333,-48.0
-8.06942,-34.891144,-48.9,-81.9333333333,-66.8666666667,-64.8,-51.4,-74.7666666667
-8.063136,-34.897278,-74.35,-39.6,-65.65,-40.8,-72.4,-55.35
-8.076227,-34.896053,-63.1333333333,-61.1,-75.8333333333,-67.8,-73.9333333333,-76.9333333333
-8.065873,-34.888149,-68.4,-79.15,-80.35,-70.5,-63.3,-88.45
-8.063527,-34.894913,-84.5666666667,-46.2,-77.1666666667,-79.4333333333,-65.4,-63.1666666667
-8.0607,-34.905228,-78.45,-69.15,-70.3,-74.4,-72.55,-77.15
-8.067201,-34.89677,-60.375,-49.625,-50.25,-36.45,-62.475,-41.625
-8.066896,-34.894684,-67.7,-67.4,-70.4666666667,-69.5,-68.4,-38.5666666667
-8.069769,-34.894531,-46.4333333333,-70.5333333333,-66.9,-62.6333333333,-61.2,-50.2666666667
-8.069234,-34.89566,-51.5,-75.5,-63.35,-53.25,-55.5,-60.1
-8.069288,-34.888081,-72.7,-77.3333333333,-78.3333333333,-69.9333333333,-56.5333333333,-74.3333333333
-8.071336,-34.897015,-47.4,-64.85,-70.05,-51.0,-73.55,-59.7
-8.062372,-34.887772,-82.3195121951,-77.6975609756,-87.7390243902,-88.0780487805,-84.1487804878,-91.6682926829
-8.065805,-34.890659,-78.8,-82.8,-80.1,-71.2666666667,-66.9,-61.4
-8.068806,-34.891083,-68.6333333333,-75.2333333333,-74.0,-66.0333333333,-26.2666666667,-70.7333333333
-8.06103,-34.904888,-81.4,-58.5,-71.05,-72.7,-76.45,-73.65
